,tf-necd,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,17.61996319165303,17.61996319165615,33.82670984010007,17.619960314454925,22.47915424871707,22.47915337796141,17.619963191654755,17.619963191654755
1,17.44596202727694,17.445962027274476,27.105319784395352,17.445960620167348,22.428512909628477,22.42851393162154,17.44596202727273,17.44596202727273
2,17.695069730807283,17.6950697308223,26.838949670312086,17.695069005556206,22.511918012666893,22.511919069936617,17.695069730822674,17.695069730822674
3,17.40718920377343,17.407189203762663,26.35032124173137,17.40719075686685,22.029880194621487,22.029877571081823,17.407189203760186,17.407189203760186
4,16.88977714568284,16.889777145681094,26.67602325931269,16.889785850923868,22.068613026857008,22.06861318477491,16.88977714567779,16.88977714567779
5,17.926703997796217,17.926703997803724,26.75964420363559,17.926700911500042,22.45885307308973,22.458852746601977,17.92670399780567,17.92670399780567
6,17.631325159507835,17.6313251595092,27.061343124288314,17.631324596296643,22.75057142877435,22.75057221498549,17.631325159509885,17.631325159509885
7,17.699776159899287,17.699776159897397,26.909259152431652,17.69977520579585,22.59275935352173,22.592759133371207,17.69977615989829,17.69977615989829
8,17.44193638199346,17.44193638199288,26.696230993199407,17.441939566364727,22.468899766769617,22.46889736760323,17.441936381992303,17.441936381992303
9,18.433462815897627,18.433462815899635,25.889229913642417,18.433463836217555,22.579395762342774,22.579393420419745,18.4334628159001,18.4334628159001
